id,name,city,latitude,longitude
200266,SOLEX GAS,NOT AVAILABLE,56.15,-120.67
200267,MCMAHON GAS TAP,NOT AVAILABLE,56.14,-120.68
200268,DAWSON CREEK,NOT AVAILABLE,55.78,-120.26
200269,BEAR MOUNTAIN TERMINAL,NOT AVAILABLE,55.77,-120.45
200270,CHETWYND,CHETWYND,55.7,-121.63
200271,LOUISIANA PACIFIC,NOT AVAILABLE,55.74,-121.3
200259,PEACE CANYON,NOT AVAILABLE,55.98,-122.0
200272,SUKUKNA,NOT AVAILABLE,55.5,-121.62
200273,TUMBLER RIDGE,NOT AVAILABLE,55.15,-121.13
200274,QUINTETTE,NOT AVAILABLE,54.99,-121.0
200275,BULLMOOSE,NOT AVAILABLE,55.14,-121.47
200276,SPENCES BRIDGE,NOT AVAILABLE,50.43,-121.33
200277,SAVONA,NOT AVAILABLE,50.76,-120.8
200278,HIGHLAND,NOT AVAILABLE,50.41,-120.81
