id,name,city,state,zip,type,status,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,max_volt,min_volt,max_infer,min_infer
200268,DAWSON CREEK,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.78,-120.26,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200269,BEAR MOUNTAIN TERMINAL,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.77,-120.45,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200270,CHETWYND,CHETWYND,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.7,-121.63,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200271,LOUISIANA PACIFIC,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.74,-121.3,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200259,PEACE CANYON,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.98,-122,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200272,SUKUKNA,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.5,-121.62,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200273,TUMBLER RIDGE,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.15,-121.13,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200274,QUINTETTE,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,54.99,-121,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200275,BULLMOOSE,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,55.14,-121.47,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
200276,SPENCES BRIDGE,NOT AVAILABLE,BC,NOT AVAILABLE,SUBSTATION,IN SERVICE,NOT AVAILABLE,NOT AVAILABLE,CAN,50.43,-121.33,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Company Shapefile,"12/4/2014, 4:00 PM",IMAGERY/OTHER,"12/4/2014, 4:00 PM",0,"-999,999","-999,999",N,N
