outageId,outageGisId,outageRegionId,outageMunicipality,outageArea,outageCause,numCustomersOut,crewEta,dateServiceOut,dateServiceRestored,estDateServiceRestored,crewEtr,outageLastUpdated,outageRegionName,outageLatitude,outageLongitude,nearestSubstationId,outageToSubstationDistance,substationName,substationCity,typeOfSubstation,statusOfSubstation,substationLatitude,substationLongitude
2533049,2507000.0,848340027,Prince George,"SINCLAIR MILLS P172, SINCLAIR MILL ACCESS, UPPER FRASER E P278, 37900 - 38200 block SINCLAIR MILLS RD, 800 block LONGWORTH S RD, S LONGWORTH RD LT2, GRAY RD P396, S LONGWORTH RD P1, UPPER FRASER E P283, N LONGWORTH RD P11...",Under investigation,56,,2025-01-03 02:50:19+00:00,2025-01-03 03:15:22+00:00,,,2025-01-03 02:51:17+00:00,Central Interior,53.950226,-121.541416,200214,32.684905658651196,UPPER FRASER,NOT AVAILABLE,SUBSTATION,IN SERVICE,54.12,-121.95
2533052,2507003.0,521980323,Maple Ridge,11900 block 232 ST,Under investigation,1,2025-01-03 04:50:00+00:00,2025-01-03 03:01:00+00:00,2025-01-03 06:36:12+00:00,2025-01-03 05:45:00+00:00,2025-01-03 05:45:00+00:00,2025-01-03 06:00:41+00:00,Lower Mainland,49.218651,-122.579503,200146,6.673929091116866,TAP200146,NOT AVAILABLE,TAP,IN SERVICE,49.16,-122.56
2533055,2507006.0,2072041405,West Kelowna,"North-South of BRIDGEVIEW RD, West of CAMPBELL RD, East of KELVIEW RD",Under investigation,12,,2025-01-03 03:11:00+00:00,2025-01-03 03:47:13+00:00,,,2025-01-03 03:18:39+00:00,Okanagan/Kootenay,49.870773,-119.536581,200296,6.410271731434248,WESTBANK,WESTBANK,SUBSTATION,IN SERVICE,49.85,-119.62
2533057,2507008.0,848340027,Prince George,"1900 block S LONGWORTH RD, 500 block GRAVEL PIT RD, S LONGWORTH RD LT2, 42200 block BERG RD, S LONGWORTH RD P11, GRAY RD P404, 38500 - 50400 block UPPER FRASER RD, S LONGWORTH RD P19, S LONGWORTH RD P1, S LONGWORTH RD P22...",Under investigation,30,2025-01-03 08:45:00+00:00,2025-01-03 03:39:00+00:00,2025-01-03 10:47:05+00:00,2025-01-03 11:00:00+00:00,2025-01-03 11:00:00+00:00,2025-01-03 09:27:23+00:00,Central Interior,53.934047,-121.50851,200214,35.48345232731883,UPPER FRASER,NOT AVAILABLE,SUBSTATION,IN SERVICE,54.12,-121.95
2533059,2507010.0,1812901382,Victoria,600 block RICHMOND AVE,Under investigation,1,2025-01-03 09:40:00+00:00,2025-01-03 03:41:00+00:00,2025-01-03 11:33:01+00:00,,,2025-01-03 09:39:15+00:00,South VI,48.417937,-123.331409,200068,3.7584764768269356,HORSEY,VICTORIA,SUBSTATION,IN SERVICE,48.44,-123.37
2533060,2507011.0,2072041405,Vernon,"South of HAYNES RD, North of POTTERY RD, West of BOSS CREEK RD, East of EAST VERNON RD",Motor vehicle accident,134,2025-01-03 10:30:00+00:00,2025-01-03 03:44:00+00:00,2025-01-03 11:21:54+00:00,2025-01-03 11:00:00+00:00,2025-01-03 11:00:00+00:00,2025-01-03 10:27:38+00:00,Okanagan/Kootenay,50.270319,-119.222917,200303,2.3147947091659224,VERNON TERMINAL,NOT AVAILABLE,SUBSTATION,IN SERVICE,50.25,-119.23
2533061,2507012.0,2072041405,West Kelowna,2200 block BRIDGEVIEW RD,Under investigation,1,2025-01-03 04:40:00+00:00,2025-01-03 03:59:00+00:00,2025-01-03 05:37:56+00:00,,,2025-01-03 04:38:40+00:00,Okanagan/Kootenay,49.871144,-119.537334,200296,6.375028285136147,WESTBANK,WESTBANK,SUBSTATION,IN SERVICE,49.85,-119.62
2533069,2507020.0,521980323,Coquitlam,North-West of PIPELINE RD,Under investigation,6,2025-01-03 15:25:00+00:00,2025-01-03 10:21:27+00:00,2025-01-03 17:08:52+00:00,,,2025-01-03 15:44:04+00:00,Lower Mainland,49.353836,-122.777604,200007,5.410177045870109,MERIDIAN,NOT AVAILABLE,SUBSTATION,IN SERVICE,49.31,-122.81
2533074,2507025.0,725364552,Kamloops,"3000 - 4000 block AIRPORT RD, 3000 block AIRPORT DR",Under investigation,10,2025-01-03 13:15:00+00:00,2025-01-03 12:12:00+00:00,2025-01-03 14:28:06+00:00,,,2025-01-03 13:13:43+00:00,Thompson/Shuswap,50.706091,-120.44667,200294,3.742464894090386,KAMWOOD,NOT AVAILABLE,SUBSTATION,IN SERVICE,50.69,-120.4
2533075,2507026.0,521980323,"Burnaby, Vancouver","West of GRIFFITHS AVE, South of GRANGE ST, North of MARINE DR, East of CHAMPLAIN CRS",Under investigation,2498,2025-01-03 14:40:00+00:00,2025-01-03 12:13:00+00:00,2025-01-03 16:33:16+00:00,,,2025-01-03 16:03:24+00:00,Lower Mainland,49.218563,-123.016877,200108,4.133993111205343,NEWELL,BURNABY,SUBSTATION,IN SERVICE,49.22,-122.96
